ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao
C47906,"-22,92411","-43,31285",1780399289000,26,2110,1780399297000,1780399326000,2026-06-02 09:21:55
C47726,"-23,02813","-43,49965",1780399288000,18,817,1780399297000,1780399326000,2026-06-02 09:21:55
C47502,"-22,93347","-43,37246",1780399290000,0,600,1780399297000,1780399326000,2026-06-02 09:21:55
C30121,"-22,93875","-43,34483",1780399288000,15,565,1780399297000,1780399326000,2026-06-02 09:21:55
C30130,"-22,93697","-43,35096",1780399288000,0,565,1780399297000,1780399326000,2026-06-02 09:21:55
C13135,"-22,90845","-43,27666",1780399288000,1,636,1780399297000,1780399326000,2026-06-02 09:21:55
D13208,"-22,88532","-43,40102",1780399288000,0,801,1780399297000,1780399326000,2026-06-02 09:21:55
C30060,"-22,98948","-43,3222",1780399289000,2,557,1780399297000,1780399326000,2026-06-02 09:21:55
C47648,"-22,99275","-43,25344",1780399289000,14,SV319,1780399297000,1780399326000,2026-06-02 09:21:55
C47570,"-22,92775","-43,35879",1780399289000,0,353,1780399297000,1780399326000,2026-06-02 09:21:55
D13202,"-22,89152","-43,44916",1780399290000,24,801,1780399297000,1780399326000,2026-06-02 09:21:55
C30018,"-22,9156","-43,36102",1780399290000,0,610,1780399297000,1780399326000,2026-06-02 09:21:55
D13036,"-22,90712","-43,31036",1780399289000,45,691,1780399297000,1780399326000,2026-06-02 09:21:55
C47490,"-22,92287","-43,29403",1780399288000,24,390,1780399297000,1780399326000,2026-06-02 09:21:55
C47776,"-22,96383","-43,3573",1780399255000,15,614,1780399297000,1780399326000,2026-06-02 09:21:55
C30107,"-22,98638","-43,20971",1780399288000,0,557,1780399297000,1780399326000,2026-06-02 09:21:55
D13163,"-22,98802","-43,31075",1780399288000,8,878,1780399297000,1780399326000,2026-06-02 09:21:55
C47583,"-22,90355","-43,18361",1780399287000,1,306,1780399297000,1780399326000,2026-06-02 09:21:55
D13275,"-22,93764","-43,37",1780399286000,28,861,1780399297000,1780399326000,2026-06-02 09:21:55
C47804,"-22,96032","-43,20409",1780399289000,18,319,1780399297000,1780399326000,2026-06-02 09:21:55
C47526,"-22,92655","-43,35602",1780399228000,34,390,1780399297000,1780399326000,2026-06-02 09:21:55
D13141,"-22,97372","-43,33364",1780399289000,0,SV878,1780399297000,1780399326000,2026-06-02 09:21:55
C47776,"-22,96613","-43,35733",1780399285000,43,614,1780399297000,1780399326000,2026-06-02 09:21:55
C47526,"-22,92574","-43,35719",1780399282000,0,390,1780399297000,1780399326000,2026-06-02 09:21:55
C30368,"-22,91801","-43,36111",1780399289000,12,766,1780399297000,1780399326000,2026-06-02 09:21:55
C30207,"-22,93276","-43,39373",1780399289000,33,831,1780399297000,1780399326000,2026-06-02 09:21:55
C47681,"-23,01344","-43,46149",1780399289000,14,553,1780399297000,1780399326000,2026-06-02 09:21:55
C30229,"-23,00269","-43,36578",1780399289000,44,565,1780399297000,1780399326000,2026-06-02 09:21:55
D13017,"-22,96732","-43,33598",1780399229000,28,863,1780399297000,1780399326000,2026-06-02 09:21:55
C47592,"-22,95494","-43,35469",1780399289000,30,348,1780399297000,1780399326000,2026-06-02 09:21:55
C13030,"-22,9386","-43,34661",1780399289000,1,341,1780399297000,1780399326000,2026-06-02 09:21:55
D13281,"-22,88461","-43,29072",1780399258000,67,611,1780399297000,1780399326000,2026-06-02 09:21:55
C47678,"-22,89311","-43,34861",1780399289000,12,353,1780399297000,1780399326000,2026-06-02 09:21:55
C47758,"-22,94113","-43,18203",1780398870000,11,319,1780399297000,1780399326000,2026-06-02 09:21:55
D13017,"-22,96754","-43,33597",1780399233000,19,863,1780399297000,1780399326000,2026-06-02 09:21:55
C47458,"-22,98693","-43,1908",1780399289000,27,553,1780399297000,1780399326000,2026-06-02 09:21:55
C47981,"-22,91386","-43,22777",1780399288000,18,2111,1780399297000,1780399326000,2026-06-02 09:21:55
C30006,"-22,8907","-43,34744",1780399289000,43,766,1780399297000,1780399326000,2026-06-02 09:21:55
C47597,"-22,91499","-43,26568",1780399289000,0,390,1780399297000,1780399326000,2026-06-02 09:21:55
C47559,"-23,01097","-43,51808",1780399288000,53,554,1780399297000,1780399326000,2026-06-02 09:21:55
C30146,"-23,00679","-43,30294",1780399289000,33,343,1780399297000,1780399326000,2026-06-02 09:21:55
D13017,"-22,96756","-43,33593",1780399234000,18,863,1780399297000,1780399326000,2026-06-02 09:21:55
C47759,"-22,91764","-43,24561",1780399290000,2,600,1780399297000,1780399326000,2026-06-02 09:21:55
C30355,"-22,93671","-43,37163",1780399290000,0,954,1780399297000,1780399326000,2026-06-02 09:21:55
C47758,"-22,94104","-43,18226",1780398900000,1,319,1780399297000,1780399326000,2026-06-02 09:21:55
D13017,"-22,96754","-43,33585",1780399236000,12,863,1780399297000,1780399326000,2026-06-02 09:21:55
C47897,"-22,92362","-43,28302",1780399223000,30,306,1780399297000,1780399326000,2026-06-02 09:21:55
C47629,"-22,93932","-43,35037",1780399289000,0,613,1780399297000,1780399326000,2026-06-02 09:21:55
D13340,"-22,92668","-43,24501",1780399290000,16,636,1780399297000,1780399326000,2026-06-02 09:21:55
C30220,"-23,00624","-43,31635",1780399290000,29,343,1780399297000,1780399326000,2026-06-02 09:21:55
C47884,"-22,91032","-43,20812",1780399289000,6,353,1780399297000,1780399326000,2026-06-02 09:21:55
D13153,"-22,98082","-43,49075",1780399290000,0,817,1780399297000,1780399326000,2026-06-02 09:21:55
C47457,"-22,99558","-43,44912",1780399290000,0,554,1780399297000,1780399326000,2026-06-02 09:21:55
C47970,"-22,92145","-43,33017",1780399231000,30,2614,1780399297000,1780399326000,2026-06-02 09:21:55
