ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao,data,hora,minuto,dia_semana,latencia_envio_s,latencia_servidor_s
C27035,-22.80961,-43.32663,2026-06-02 08:44:49-03:00,25,775,2026-06-02 08:44:57-03:00,2026-06-02 08:45:19-03:00,2026-06-02 09:21:55,2026-06-02,8,44,Tuesday,8.0,22.0
B32808,-22.90401,-43.18679,2026-06-02 09:17:45-03:00,0,292,2026-06-02 09:17:48-03:00,2026-06-02 09:17:59-03:00,2026-06-02 09:21:55,2026-06-02,9,17,Tuesday,3.0,11.0
A29074,-22.92438,-43.20891,2026-06-02 08:27:10-03:00,0,711,2026-06-02 08:27:16-03:00,2026-06-02 08:27:20-03:00,2026-06-02 09:21:55,2026-06-02,8,27,Tuesday,6.0,4.0
C51603,-22.8681,-43.25877,2026-06-02 08:51:00-03:00,7,917,2026-06-02 08:51:08-03:00,2026-06-02 08:51:30-03:00,2026-06-02 09:21:55,2026-06-02,8,51,Tuesday,8.0,22.0
A48153,-23.00053,-43.2438,2026-06-02 08:54:40-03:00,25,LECD131,2026-06-02 08:54:48-03:00,2026-06-02 08:55:08-03:00,2026-06-02 09:21:55,2026-06-02,8,54,Tuesday,8.0,20.0
B25511,-22.9093,-43.20294,2026-06-02 09:08:22-03:00,13,232,2026-06-02 09:08:30-03:00,2026-06-02 09:08:46-03:00,2026-06-02 09:21:55,2026-06-02,9,8,Tuesday,8.0,16.0
C27120,-22.82587,-43.30745,2026-06-02 08:52:11-03:00,1,905,2026-06-02 08:52:20-03:00,2026-06-02 08:52:29-03:00,2026-06-02 09:21:55,2026-06-02,8,52,Tuesday,9.0,9.0
D86171,-22.99383,-43.59718,2026-06-02 08:30:16-03:00,0,857,2026-06-02 08:30:21-03:00,2026-06-02 08:30:52-03:00,2026-06-02 09:21:55,2026-06-02,8,30,Tuesday,5.0,31.0
A48073,-22.91777,-43.21597,2026-06-02 09:20:29-03:00,11,426,2026-06-02 09:20:41-03:00,2026-06-02 09:20:42-03:00,2026-06-02 09:21:55,2026-06-02,9,20,Tuesday,12.0,1.0
A48085,-22.91025,-43.20358,2026-06-02 09:09:39-03:00,18,415,2026-06-02 09:09:59-03:00,2026-06-02 09:10:29-03:00,2026-06-02 09:21:55,2026-06-02,9,9,Tuesday,20.0,30.0
C47692,-22.99359,-43.25457,2026-06-02 08:27:31-03:00,0,554,2026-06-02 08:27:40-03:00,2026-06-02 08:27:48-03:00,2026-06-02 09:21:55,2026-06-02,8,27,Tuesday,9.0,8.0
C27193,-22.8176,-43.31688,2026-06-02 09:06:43-03:00,29,LECD142,2026-06-02 09:06:51-03:00,2026-06-02 09:07:23-03:00,2026-06-02 09:21:55,2026-06-02,9,6,Tuesday,8.0,32.0
C47789,-23.0306,-43.47355,2026-06-02 08:28:16-03:00,24,553,2026-06-02 08:28:22-03:00,2026-06-02 08:28:48-03:00,2026-06-02 09:21:55,2026-06-02,8,28,Tuesday,6.0,26.0
C47786,-22.938,-43.35329,2026-06-02 09:00:01-03:00,8,353,2026-06-02 09:00:08-03:00,2026-06-02 09:00:13-03:00,2026-06-02 09:21:55,2026-06-02,9,0,Tuesday,7.0,5.0
B25561,-22.90485,-43.26534,2026-06-02 08:43:45-03:00,27,249,2026-06-02 08:43:51-03:00,2026-06-02 08:43:52-03:00,2026-06-02 09:21:55,2026-06-02,8,43,Tuesday,6.0,1.0
D33148,-22.85596,-43.49245,2026-06-02 08:38:20-03:00,12,756,2026-06-02 08:38:23-03:00,2026-06-02 08:38:44-03:00,2026-06-02 09:21:55,2026-06-02,8,38,Tuesday,3.0,21.0
D86148,-22.99033,-43.63523,2026-06-02 09:04:48-03:00,7,856,2026-06-02 09:05:05-03:00,2026-06-02 09:05:25-03:00,2026-06-02 09:21:55,2026-06-02,9,4,Tuesday,17.0,20.0
B58062,-22.87053,-43.2584,2026-06-02 08:26:28-03:00,2,625,2026-06-02 08:26:32-03:00,2026-06-02 08:26:50-03:00,2026-06-02 09:21:55,2026-06-02,8,26,Tuesday,4.0,18.0
A48109,-22.9158,-43.21075,2026-06-02 09:15:15-03:00,0,415,2026-06-02 09:15:25-03:00,2026-06-02 09:15:36-03:00,2026-06-02 09:21:55,2026-06-02,9,15,Tuesday,10.0,11.0
D13273,-22.97206,-43.33159,2026-06-02 08:59:56-03:00,15,880,2026-06-02 09:00:07-03:00,2026-06-02 09:00:12-03:00,2026-06-02 09:21:55,2026-06-02,8,59,Tuesday,11.0,5.0
D13093,-22.92299,-43.3743,2026-06-02 08:42:13-03:00,16,803,2026-06-02 08:42:21-03:00,2026-06-02 08:42:45-03:00,2026-06-02 09:21:55,2026-06-02,8,42,Tuesday,8.0,24.0
D13272,-22.88459,-43.23542,2026-06-02 08:27:58-03:00,42,348,2026-06-02 08:28:02-03:00,2026-06-02 08:28:18-03:00,2026-06-02 09:21:55,2026-06-02,8,27,Tuesday,4.0,16.0
C51623,-22.88943,-43.31083,2026-06-02 08:46:43-03:00,31,607,2026-06-02 08:46:49-03:00,2026-06-02 08:46:55-03:00,2026-06-02 09:21:55,2026-06-02,8,46,Tuesday,6.0,6.0
B11582,-22.80576,-43.36535,2026-06-02 07:53:51-03:00,0,665,2026-06-02 08:35:25-03:00,2026-06-02 08:35:47-03:00,2026-06-02 09:21:55,2026-06-02,7,53,Tuesday,2494.0,22.0
B27138,-22.90446,-43.18996,2026-06-02 08:51:54-03:00,9,292,2026-06-02 08:51:58-03:00,2026-06-02 08:52:28-03:00,2026-06-02 09:21:55,2026-06-02,8,51,Tuesday,4.0,30.0
B28702,-22.80304,-43.20348,2026-06-02 08:59:49-03:00,5,2344,2026-06-02 09:03:37-03:00,2026-06-02 09:04:07-03:00,2026-06-02 09:21:55,2026-06-02,8,59,Tuesday,228.0,30.0
D86364,-22.86067,-43.39184,2026-06-02 08:48:20-03:00,40,883,2026-06-02 08:48:25-03:00,2026-06-02 08:48:56-03:00,2026-06-02 09:21:55,2026-06-02,8,48,Tuesday,5.0,31.0
D33266,-22.87184,-43.44814,2026-06-02 09:08:59-03:00,0,926,2026-06-02 09:09:21-03:00,2026-06-02 09:09:42-03:00,2026-06-02 09:21:55,2026-06-02,9,8,Tuesday,22.0,21.0
A48095,-22.94625,-43.25667,2026-06-02 08:37:24-03:00,0,426,2026-06-02 08:37:34-03:00,2026-06-02 08:37:44-03:00,2026-06-02 09:21:55,2026-06-02,8,37,Tuesday,10.0,10.0
B71053,-22.90021,-43.2795,2026-06-02 08:33:40-03:00,24,457,2026-06-02 08:33:45-03:00,2026-06-02 08:33:52-03:00,2026-06-02 09:21:55,2026-06-02,8,33,Tuesday,5.0,7.0
C72001,-22.93873,-43.17095,2026-06-02 09:06:33-03:00,54,410,2026-06-02 09:06:39-03:00,2026-06-02 09:06:44-03:00,2026-06-02 09:21:55,2026-06-02,9,6,Tuesday,6.0,5.0
C50206,-23.00142,-43.3656,2026-06-02 09:18:39-03:00,0,805,2026-06-02 09:18:49-03:00,2026-06-02 09:18:56-03:00,2026-06-02 09:21:55,2026-06-02,9,18,Tuesday,10.0,7.0
B25559,-22.90384,-43.25908,2026-06-02 08:45:43-03:00,20,249,2026-06-02 08:45:47-03:00,2026-06-02 08:45:55-03:00,2026-06-02 09:21:55,2026-06-02,8,45,Tuesday,4.0,8.0
B27140,-22.88695,-43.23029,2026-06-02 08:58:41-03:00,0,292,2026-06-02 08:58:44-03:00,2026-06-02 08:59:10-03:00,2026-06-02 09:21:55,2026-06-02,8,58,Tuesday,3.0,26.0
D33312,-22.88464,-43.39964,2026-06-02 09:08:57-03:00,0,743,2026-06-02 09:10:08-03:00,2026-06-02 09:10:13-03:00,2026-06-02 09:21:55,2026-06-02,9,8,Tuesday,71.0,5.0
A50193,-22.93497,-43.2435,2026-06-02 08:28:24-03:00,27,220,2026-06-02 08:28:26-03:00,2026-06-02 08:28:45-03:00,2026-06-02 09:21:55,2026-06-02,8,28,Tuesday,2.0,19.0
D86293,-22.878,-43.44186,2026-06-02 08:47:03-03:00,0,918,2026-06-02 08:47:10-03:00,2026-06-02 08:47:22-03:00,2026-06-02 09:21:55,2026-06-02,8,47,Tuesday,7.0,12.0
